Event Title,Event Date,Event Location,Event Type,Poets,Event Summary,Event Original Title
"The Politics of Exile, Conference",1987-04-25,United Kingdom. England. London. Institute for Contemporary Arts.,Political,"Brutus, Dennis","Beginning April 25, 1987 in London, The Politics of Exile Conference, organized by the Third World Foundation and South magazine at the Institute for Contemporary Arts, occurred. It featured writers and intellectuals who spoke about the Latin American, African, Middle-Eastern, South Asian, and African experiences of exile.","The Politics of Exile, Conference"
Trial of Breyten Breytenbach,1975,Southern Africa. South Africa. Johannesburg.,Political,"Breytenbach, Breyten","In 1975, Breyten Breytenbach, the anti-apartheid poet, was sent for trial in the Supreme Court in South Africa on charges carrying the death penalty. Breytenbach, at the time aged 36, was accused under the Terrorism and Anti-Communism Acts of helping to set up an illegal organization to promote armed struggle in South Africa intended to overthrow the white government.",Trial of Breyten Breytenbach
"University of Western Cape closed, student demonstrations",1973-06-11,Southern Africa. South Africa. Cape Town.,Political,"Small, Adam","On June 21, 1973, Adam Small, one of South Africa's leading intellectuals, resigned his teaching post at the  University of the Western Cape in Cape Town, South Africa. The University had been closed since June 11 following student demonstrations against alleged restrictive rules and white domination in running the institution.","University of Western Cape closed, student demonstrations"
"US Athletes boycott Olympics, with support from SANROC (Dennis Brutus)",1967-09-26,North America. United States.,Political,"Brutus, Dennis","By September 26, 1967, black American athletes were likely to boycott the 1968 Olympics in Mexico City in response to racist South African policies. ","US Athletes boycott Olympics, with support from SANROC (Dennis Brutus)"
Veldsinger's Club,1910,East Africa. South Africa. Johannesburg.,Social,"Alder, Alice Mabel
Allhusen, Beatrice
Byron, Mary
Blane, William
Davis, Philip Rufus
Evans, Hugh John
Jacobs, David Morrison
Neale, H. Woodhouse [Mome]
Nelson, Robert Alexander
Skinner, Milton Cox
Walrond, Francis Ernley",The Veldsinger' Club was a small company of South Africans living in Johannesburg who enjoyed poetry. They published a small collection of verses written by the members. Olive Schreiner writes the forward to this work. ,Veldsinger's Club
Voluntary Exile of Wole Soyinka,1971-04-01,United Kingdom. England. Leeds.,Political,"Soyinka, Wole","In April 1971, concerned about the political situation in Nigeria, Soyinka resigned from his duties at the University in Ibadan, and began years of voluntary exile. ",Voluntary Exile of Wole Soyinka
Whitbread Book Awards Announcement,1999,United Kingdom. England.,Professional,"Krog, Antjie","On the radio in England in 1999, Richard Coles talks to leading South African poet and journalist Antjie Krog; plus the announcement of the Whitbread Book Awards.",Whitbread Book Awards Announcement
Withdrawal of US Ambassador in Tananarive,1971-06-28,Southeast Africa. Madagascar. Tananarive.,Political,"Rabemananjara, Jacques","On June 28, 1971, The State Department of the United States announced that it was withdrawing its ambassador in Tananarive as a protest at accusations that the embassy had interfered in Malagasy internal affairs. Jacques Rabemananjara, the Malagasy Foreign Minister, said that his country still wanted good relations with the United States.",Withdrawal of US Ambassador in Tananarive
Wole Soyinka appointed professor of comparative literature at the University of Ife,1976,West Africa. Nigeria. Lagos.,Professional,"Soyinka, Wole","In 1976 after a period of exile in Ghana, Wole Soyinka, the Nigerian playwright and poet, returned to Nigeria and was appointed professor of comparative literature at the University of Ife.",Wole Soyinka appointed professor of comparative literature at the University of Ife
Wole Soyinka's passport impounded,1971-03-21,West Africa. Nigeria. Lagos.,Political,"Soyinka, Wole","The passport of Mr. Wole Soyinka, the Nigerian playwright, was impounded by security officials at Ikeja airport on March 21, 1971.  ",Wole Soyinka's passport impounded
"World Festival of Negro Arts, 1974",1974,West Africa. Nigeria. Lagos.,Professional,"Senghor, Léopold Sédar 
Achebe, Chinua
Soyinka, Wole
Clark, John Pepper
Okigbo, Christopher","In 1974, Nigeria hosted the second World Festival of Negro Arts.",World Festival of Negro Arts
"World Festival of Negro Arts, 1966",1966,West Africa. Nigeria. Lagos.,Professional,"Senghor, Léopold Sédar","In 1966, Nigeria hosted the first World Festival of Negro Arts.",
