Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,Nineteenth Century Collections Online,1908-12-21,p. 7,"http://link.galegroup.
com/apps/doc/IMKDFW809549900/GDCS?u=linc74325&sid=GDCS&xid=b7824533",2019-06-27,Gale Primary Sources Database,"""Writers and Readers."" Natal Witness, 21 Dec. 1908, p. 7. Nineteenth Century Collections Online, http://link.galegroup.
com/apps/doc/IMKDFW809549900/GDCS?u=linc74325&sid=GDCS&xid=b7824533. Accessed 27 June 2019.","Writers and Readers: Literary Notes, News, and Reviews. An African Poet.",,"Hunter, William Elijah",Hunter,Elijah,William,,,Bishop Colenso|Writer,"Hunter, William Elijah. The Nightingale, and other poems. The African Book Company, Grahamstown, 1908. ",Single Author|Selected Works,,,,,,,"""To Colonists of the older school in Natal this little volume of poems will prove of special interest, as the author, Rev. W. E. Hunter, was, during the early seventies, for many years resident in this Colony, where his high literary culture and kindness of manner made for him troops of friends who have not yet forgotten him. In these verses, which W. E. Hunter modestly calls ""[illegible] of past years,"" the author has garnered together what may be termed the poetical garner of a [illegibal] and in so doing he has made a most valuable contribution to the far too scanty store of genuine South African poetry.""",,"collection, colonialism",
Book Review,The Sunday Times,1947-10-19,p. 3,http://tinyurl.galegroup.com/tinyurl/49BSV0,2016-12-15,Gale Primary Sources Database,"Ensor, R. C. K. ""South African Poet."" Sunday Times 19 Oct. 1947: 3. The Sunday Times Digital Archive. Web. 15
Dec. 2016.
URL
http://tinyurl.galegroup.com/tinyurl/49BSV0",South African Poet,,"Slater, Francis Carey [F. C.]",Slater,,Francis Carey [F. C.],,,"Ensor, R. C. K.|Writer","Slater, F. C. Selected Poems of Francis Carey Slater. Introduction by R. C. K. Ensor. Oxford University Press, 1947.",Single Author|Selected Works,,,,,,,"""This volume gathers examples from the best work of one of the foremost South African poets of today. The quality that strikes one particularly in Mr. Slater's verse is its ability to achieve a quiet subtlety of rhythm: it flows with a varied cadence, without monotony, carefully preventing its metre from stamping, or its rhyme from rinigng, to the disturbance of its subdued harmonies. Its content is chiefly remarkable for its sensitive feeling for the African landscape. Mr. R. C. K. Ensor's brief biographical note of the poet which introduces the book is most useful.""",,"collection, review, criticism, rhythm, cadence, landscape, nature, biography",
Book Review,The Times Literary Supplement,1963-08-02,p. 594,http://tinyurl.galegroup.com/tinyurl/49BHcX,2016-12-15,Gale Primary Sources Database,"Moore,, Gerald Holyoake, and GERALD MOORE. ""Poetry from Africa."" The Times Literary
Supplement 2 Aug. 1963: 594. Times Literary Supplement Historical Archive. Web. 15 Dec.
2016.
URL
http://tinyurl.galegroup.com/tinyurl/49BHcX",Poetry from Africa,"Moore, Gerald ","Lumumba, Patrice Hemery
Diop, David Mandessi
Senghor, Léopold Sédar
Ranaivo, Flavien
U Tam'si, Tchicaya
Rive, Richard
Soyinka, Wole
Clark, John Pepper [J. P.]
Okara, Gabriel
Okigbo, Christopher
Brew, Kwesi
Opoku, A. A. 
Falete, Adebayo
Kunene, Mazisi","Lumumba
Diop
Senghor
Ranaivo
UTam'si
Rive
Soyinka
Clark
Okara
Okigbo
Brew
Opoku
Falete
Kunene

",,"Patrice
David
Léopold Sédar 
Flavien
Tchicaya
Richard
Wole
John Pepper [J. P.] 
Gabriel
Christopher
Kwesi
A. A. 
Adebayo
Mazisi","Hughes, Langston 
Guibert, Armand ",,"Moore, Gerald|Critic
Beier, Ulli|Academic","Hughes, Langston, ed. Poems from Black Africa. Indiana University Press, 1963.

","Anthology

","Guibert, Armand. Leopold Sedar Senghor. Paris: Presence Africaine, 1963.",,,,,,"Gerald Moore first critically evaluates the poems included in the collection edited by Langston Hughes; he suggests that while ""the accomplished young Nigerian poets Wole Soyinka, J. P. Clark, Gabriel Okara, and Christopher Okigbo suffer from being placed immediately after no fewer than 22 poems from Ghana and Liberia, of which only four by Kwesi Brew and one (translated from Twi) by A. A. Opoku rise above the level of mediocrity."" About another poem by Richard Rive, he suggests that ""any reader opening the book at this point might be forgiven for flinging it through the window."" On the second review, the biography of L S. Senghor, Moore writes that Armand Guibert puts together this ""short biogrpahical introduction, a selection of poetry interlarded with exegesis and footnotes, a couple of prose extracts, a dialogue with the poet, a selection of review notices and a bibliography."" ",,"collection, review, criticism, biography",
Book Review,The Times Literary Supplement,1949-07-01,p. 430,http://tinyurl.galegroup.com/tinyurl/49Ba47,2016-12-15,Gale Primary Sources Database,"Whistler,, Laurence, and Laurence Whistler. ""Voices from South Africa."" The Times Literary
Supplement 1 July 1949: 430. Times Literary Supplement Historical Archive. Web. 15 Dec. 2016.
URL
http://tinyurl.galegroup.com/tinyurl/49Ba47",Voices from South Africa,"Whistler, Laurence ","Campbell, Roy
Butler, Guy
Currey, Ralph Nixon [R. N.]
Prince, Frank Templeton [F. T.]
Madge, Charles Henry
Plomer, William","Campbell
Butler
Currey
Prince
Madge
Plomer",,"Roy
Guy
Ralph Nixon [R. N.] 
Frank Templeton [F. T.] 
Charles Henry
William",,,"Whistler, Laurence|Critic","Gulston, Charles and Roy Macnab, eds. South African Poetry. A New Anthology, with a Foreword by Roy Campbell. Collins, 1948.",Anthology,,,,,,,"Laurence Whistler writes a generally praising critique of South African Poetry, complimenting Guy Butler and R. N. Currey, but suggesting ""had the compilers omitted four-fifths of their contributors and increased the contributions of the remainder they could have produced an impressive anthology."" At the end of his critique, Whistler questions if there is ""such a thing"" as South African poetry. He points out that the ""liveliest creative minds"" desert South Africa for England, calling them ""poetic deserters.""",,"criticism, review, collection, exile, desert, colonialism",
Book Review,Nineteenth Century Collections Online,1910-01-29,p. 7,http://tinyurl.galegroup.com/tinyurl/49B7n2,2016-12-15,Gale Primary Sources Database,"""South African Poets."" Diamond Fields Advertiser 29 Jan. 1910: 7. Nineteenth Century Collections Online.
Web. 15 Dec. 2016.
URL
http://tinyurl.galegroup.com/tinyurl/49B7n2",South African Poets,,"Hunter, William Elijah",Hunter,Elijah,William,,,,"Hunter, William Elijah. The Nightingale, and other poems. The African Book Company, Grahamstown, 1908. ",Single Author|Selected Works,,,,,,,"The critic writes, of William Elijah Hunter's collection, ""This is a little volume which those who appreciate the charms of Nature, or the stufy of human nature, will find well worth their perusal."" ",,"criticism, review, collection, nature, landscape, romantic",
Book Review,The Times Literary Supplement,1902-06-20,p. 178,,,Gale Primary Sources Database,"A South African Poet.
Quiller-Couch, Arthur Thomas, Sir (""Q"")
The Times Literary Supplement(London, England),Friday, June 20, 1902; pg. 178; Issue 23.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200000381",A South African Poet,,"Pringle, Thomas",Pringle,,Thomas,,,,"Pringle, Thomas. South African Sketches: Poems by Thomas Pringle, with a frontispicco photogravuro by J. G. Millais. Edinburgh: The Abbey Press, 1834.

Pringle, Thomas. Ephemorides: or occasional poems. Written in Scotland and South Africa. Smith, Elder, and Company, 1828 
","Single Author|Selected Works

Single Author|Selected Works",,,,,,,"""South Africa, where a new era is now beginning, has not produced much poetry, and its chief poet has been forgotten. This little volume should save Thomas Pringle, if only for a little while longer, from the oblivion which has been fast closing over him. For he was a genuine poet in his way... South Africa, it seemed, was a to have a University before she had a literature; but somehow the muse always gets ahead of learning and pegs out the first claim; and the patrons of literature arrive to find her seated, patient, and smiling in her poverty. This little book, which can be slipped into the waistcoat pocket, contains (we daresay) the beginnings of South African poetry, and professors in Cape Town will some day start their lectures with Thomas Pringle.""",,"collection, identity, colonialism",
Book Review,The Times Literary Supplement,1991-01-18,p. 18,,,Gale Primary Sources Database,"The editor lied.
Haynes, John
The Times Literary Supplement(London, England),Friday, January 18, 1991; pg. 18; Issue 4581.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200461641",The editor lied,"Haynes, John ","Awoonor, Kofi
Soyinka, Wole
Laing, Kojo
Mapanje, Jack
Chipasula, Frank
P'Bitek, Okot
Kunene, Mazisi
Ofeimun, Odia
Okigbo, Christopher","Awooner
Soyinka
Laing
Mapanje
Chipasula
p'Bitek
Kunene
Ofeimun
Okigbo
",,"Kofi
Wole
Kojo
Jack
Frank
Okot
Mazisi
Odia
Christopher",,,"Haynes, John|Critic","Maja-Pearce, Andewale, ed. The Heinemann Book of African Poetry in English. Heinemann, 1990.",Anthology,,,,,,,"John Haynes notes that this collection of African Poetry in English emphasizes poets born after 1945 and has a distinguishing factor of featuring ""poetry in the shadow of police states."" ",,"militarism, colonialism, imprisonment, exile, collection",
Book Review,The Times Literary Supplement,1962-09-21,p. 704,,,Gale Primary Sources Database,"Tradition Gone Stale -.
Beier, Ulli
The Times Literary Supplement(London, England),Friday, September 21, 1962; pg. 704; Issue 3160.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200129442",Tradition Gone Stale,"Beier, Ulli",,,,,,,"Beier, Ulli|Critic",,,"Harries, Lyndon. Swahili Poetry. University Press, 1962.",,,,,,"Ulli Beier critiques the collection of Swahili poetry. He suggests that we should be grateful for the collection, in that ""very little is known about African poetry anywhere on our continent,"" but he also argues that this collection suffers from translation and the fact that the Swahili poetry is meant to be sung or recited to music. He concludes that the poetry in the volume is worth more to ""students of East African ethnolography and above all to Islamic scholars,"" but not to literary critics.",,"criticism, review, collection, continent, landscape, translation, music",
Book Review,The Times Literary Supplement,1975-02-21,p. 204,,,Gale Primary Sources Database,"Songs from the grasslands.
Moore, Gerald Holyoake
The Times Literary Supplement(London, England),Friday, February 21, 1975; pg. 204; Issue 3807.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200403999",Songs from the grasslands,"Moore, Gerald","P'Bitek, Okot",p'Bitek,,Okot,,,"Moore, Gerald|Critic","P'Bitek, Okot. The Horn of my Love. Heinemann Educational, 1974.",Single Author|Full Length,,,,,,,"Gerald Moore praises Okot p'Bitek's collection of Acoli traditional songs. He suggests that the songs and poems collected here have merit on their own accord, rather than to be used as only ethnographic material ""to be eviscerated."" Of Okot p'Bitek himself, Moore writes, ""Those familiar with his own poetry, especially The Song of Lawino, will recognize here the indigenous poetic tradition in which that fine work is embedded. The bitters of Lawino's sense of betrayal is not a personal but a cultural bitterness."" ",,"tradition, music, song, collection, orature, criticism, review, indigenous, identity, betrayal, colonialism",
Book Review,The Times Literary Supplement,1974-06-21,p. 667,,,Gale Primary Sources Database,"Revving up.
Eagleton, Terry, Professor (Terence Francis Eagleton)
The Times Literary Supplement(London, England),Friday, June 21, 1974; pg. 667; Issue 3772.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200398469",Revving up,"Eagleton, Terry ","Hope, Christopher",Hope,,Christopher,"Davison, Peter ",,"Eagleton, Terry|Critic","Hope, Christopher. Cape Drives. London Magazine Editions, 1974.",Single Author|Selected Works,,,,,,,"Terry Eagleton writes on Christopher Hope, a white South African poet. Of his poetry, Eagleton says, ""Mr. Hope's poems do not easily yield sympathy to their subjects... It seems rather the necessary stringency of a poet who needs to feel his way back into an increasingly alien world by a process of precise observation, clarifying and defining its textures so that perception itself becomes a kind of moral act.""",,"criticism, review, collection, observation, landscape, stringent, negative",
Book Review,The Times Literary Supplement,1966-07-28,p. 657,,,Gale Primary Sources Database,"Black Orpheus.
Thorpe, W
The Times Literary Supplement(London, England),Thursday, July 28, 1966; pg. 657; Issue 3361.
Category: Book Review
© News International Associated Services Limited
Gale Document Number:EX1200342485",Black Orpheus,"Thorpe, W. ",,,,,"Achebe, Chinua [Albert Chinualumogu]
Soyinka, Wole ",,"Thorpe, W.|Critic
Sharp, Cecil|Artist","Beier, Ulli, ed. African Poetry: An anthology of traditional African Poems. Cambridge University Press. School Edition, 1966.","Anthology
",,,,,,,"Thorpe reviews Ulli Beier's anthology of African Poetry, which includes fifty-four poems translated from twenty-six languages. The collection purports to be for students in Africa to study English poetry, but Thorpe is critical of the anthology's lack of inclusion of poems in the African version, as well. He writes, ""Offering them only an English text half concedes - with unintentional irony - the defeat of the languages many are being educated away from.""",,"collection, translation, student, college, university, colonialism",
Obituary,The Times,1958-09-04,p. 12,"http://link.galegroup.com/apps/
doc/CS203512612/GDCS?u=linc74325&sid=GDCS&xid=27ccd2b7",2019-06-27,Gale Primary Sources Database,"""Mr. F. C. Slater."" Times, 4 Sept. 1958, p. 12. The Times Digital Archive, http://link.galegroup.com/apps/
doc/CS203512612/GDCS?u=linc74325&sid=GDCS&xid=27ccd2b7. Accessed 27 June 2019.",Mr F. C. Slater,,"Slater, Francis Carey [F. C.]",Slater,,Francis Carey [F. C.],,,"Ensor, Robert|Writer","Slater, F. C. The Collected Poems of Francis Carey Slater. William Blackwood, Central News Agency, 1957.

Slater, F. C. The Centenary Book of South African Verse, , 1820-1925. Longmans, 1925. ","Single Author|Collected Works

Anthology",,Death of F. C. Slater,1958,Southwest Africa. South Africa. Cape Town.,Event|Personal,,"Mr. Francis Carey Slater, the South African poet, died on Tuesday at the age of 84, our Cape Town Correspondent reports. He was born in the Cape and educated privately at Lovedale. He joined the staff of the Standard Bank in 1899 and retired from the management of its Grahamstown branch in 1930. His poetry began to appear in 1905 and a selected edition with biographical introduction by Sir Robert Ensor was published by the Oxford University Press in 1947. Some of the poems in the book were obviously derivative, but others had force and originality from their blend of romantic, stoic, and satiric strains. He was deeply moved by the great themes of nature, character, and race in his native country. His Collected Poems was published last year. In 1925 he made an anthology, The Centenary Book of South African Verse, and his verse had appeared in The Times Literary Supplement.",,"death, funeral, obiturary, publication, collection, nature, race",
Obituary,The Times,1957-04-25,p. 8,"http://link.galegroup.com/apps/doc/
CS136403097/GDCS?u=linc74325&sid=GDCS&xid=36bdb25a",2019-06-27,Gale Primary Sources Database,"""News in Brief."" Times, 25 Apr. 1957, p. 8. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS136403097/GDCS?u=linc74325&sid=GDCS&xid=36bdb25a. Accessed 27 June 2019.",Mr Roy Campbell's Death,,"Campbell, Roy",Campbell,,Roy,,Mary Garman|SPOUSE,,,,,Death of Roy Campbell,Tue Apr 23 00:00:00 CST 1957,Portugal. Lisbon. Setubal.,Event|Personal,,"Mr. Roy Campbell, the South African poet, who had lived for some years in Portugal, was killed, and his wife was injured, when a car in which they were returning from a fortnight's holiday in Spain crashed into a tree near Setubal on Monday night. Mrs. Campbell was taken to hospital.",,"death, funeral, obituary, accident",
Obituary,The Times,1970-06-19,p. 12,"http://link.galegroup.com/
apps/doc/CS204174035/GDCS?u=linc74325&sid=GDCS&xid=9064d1e5",2019-06-27,Gale Primary Sources Database,"""N.P.Vanwyk Louw."" Times, 19 June 1970, p. 12. The Times Digital Archive, http://link.galegroup.com/
apps/doc/CS204174035/GDCS?u=linc74325&sid=GDCS&xid=9064d1e5. Accessed 27 June 2019.",N. P. Vanwyk Louw,,"Vanwyk Louw, Nicholaas Petrus",Vanwyk Louw,,Nicholaas P.,"Eliot, T. S. ",,,,,,"Death of Nicholaas Petrus VanWyk Louw

Awarded the Hertzog prize for Literature by the South African Academy of the Arts and Sciences 

Holland's University of Utrecht awarded honorary degree of a doctor of literature 

Founded STANDPUNTE, South African literary review ","1970-06-18

1943



1948




1930",Southwest Africa. South Africa. Cape Town.,"Event|Personal

Event|Professional


Event|Professional



Event|Professional",,"Nicholaas Petrus VanWyk Louw, one of South Africa's best known Afrikaans poets, died on Wednesday night. He was 64. Apart from his own work he was known for his studies on Afrikaans of such contemporary poets as T. S. Eliot. In 1943 Louw was awarded the Hertzog prize for Literature by the South African Academy of Arts and Sciences. Holland's University of Utrecht awrded him an honorary degree of a doctor in literature in 1948. Louw was the founder in 1930 of STANDPUNTE, the South African literary review. 
Louw was for many years lecturer in education at the University of Cape Town and later was appointed to the Chair of Afrikaans and Nederlands at the University of the Witwatersrand.",,"death, funeral, obituary, degree, university, professor",
Obituary,The Times,1971-06-30,p. 16,"http://link.galegroup.com/apps/doc/
CS271676638/GDCS?u=linc74325&sid=GDCS&xid=02ea8217",2019-06-27,Gale Primary Sources Database,"""Obituary."" Times, 30 June 1971, p. 16. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS271676638/GDCS?u=linc74325&sid=GDCS&xid=02ea8217. Accessed 27 June 2019.",Obituary,,"Eglington, Charles",Eglington,,Charles,,,,,,,Death of Charles Eglington,1972,"Southwest Africa. South Africa. Johannesburg.
",Event|Personal,,"Mr Charles Eglington, the South African writer and poet, and editor of the Anglo American Corporation's prestige magazine Optima, was found hanged at his home in Johannesburg on Thursday. He was 52. A noted critic, Charles Eglington was also considered one of South Africa's best poets.",,"editor, death, suicide, funeral",
Interview,The Sunday Times,1973-05-06,p. 41,http://tinyurl.galegroup.com/tinyurl/49BZX1,2016-12-15,Gale Primary Sources Database,"Young, Hugo. ""Stranger's Voice."" Sunday Times 6 May 1973: 41. The Sunday Times Digital Archive. Web.
15 Dec. 2016.
URL
http://tinyurl.galegroup.com/tinyurl/49BZX1",Stranger's Voice,"Young, Hugo ","Mtshali, Oswald Joseph
Serote, Mongane Wally 
Motjuwadi, Stanley ",Mtshali,Joseph,Oswald,"Yevtushenko, Yevgeny 
Lorca, Garcia 
Quasimodo, Salvatore ",,"Young, Hugo|Reporter
Paton, Alan|Writer
",,,,,,"Southwest Africa. South Africa. Johannesburg.
",,,"Hugo Young interviews Oswald Mtshali on his poetry collection, ""Sounds of a Cowhide Drum,"" which sold over 16,000 copies. Young writes that Mtshali is ""the poet of oppression--humorous, often bitter-sweet, rarely vengeful but still a unique chronicler of apartheid from the black underside of it."" ",,"interview, collection, apartheid, indigenous, identity, black",
Published Poem,Sam Sly's African Journal,1844-08-22,,"http://link.galegroup.com/apps/doc/CC1903018001/GDCS?u=linc74325&sid=
GDCS&xid=5c099e1e",2019-06-27,Gale Primary Sources Database,"FRAINGACH. ""African Poetry."" Sam Sly's African Journal, 22 Aug. 1844. 19th Century UK
Periodicals, http://link.galegroup.com/apps/doc/CC1903018001/GDCS?u=linc74325&sid=
GDCS&xid=5c099e1e. Accessed 27 June 2019.","African Poetry: ""Home, Sweet Home""",,,Fraingach,,,,,,,,,,,Southwest Africa. South Africa. Cape Town.,,,"""Home, Sweet Home"" poem published in Sam Sly's African Journal in August 1844, Cape Town. Poem attributed to ""Fraingach."" [CANNOT FIND IDENTITY OF AUTHOR.]",,"journal, publication",
Published Poem,Sam Sly's African Journal,1844-07-18,,,,Gale Primary Sources Database,"African Poetry.
W. Y
Sam Sly's African Journal: A Register of Facts, Fiction, News, Literature, Commerce, and Amusement(Cape
Town, South Africa),Thursday, July 18, 1844; Issue 56.
Category: Poem, verse
Sourced from the British Library
Gale Document Number:CC1903017917","African Poetry: ""Makanna""",,,Y.,,W.,,,,,,,,,Southwest Africa. South Africa. Cape Town.,,,"Issue 56. Sourced from the British Library. Poem ""Makanna"" published in Sam Sly's African Journal in July 1844. Poem attributed to ""W. Y."" [CANNOT FIND IDENTITY OF AUTHOR.]",,"journal, publication",
Published Poem,Sam Sly's African Journal,1844-07-04,,,,Gale Primary Sources Database,"African Poetry.
W. Y
Sam Sly's African Journal: A Register of Facts, Fiction, News, Literature, Commerce, and Amusement(Cape
Town, South Africa),Thursday, July 04, 1844; Issue 54.
Category: Letter to the editor
Sourced from the British Library
Gale Document Number:CC1903017905","African Poetry: ""What is Love?""",,,Y.,,W.,,,,,,,,,Southwest Africa. South Africa. Cape Town.,,,"Issue 54. Sourced from the British Library. Poem ""What is Love?"" published in Sam Sly's African journal in July 1844. Poem attributed to ""W. Y."" Editor adds, after poem, ""We shall be pleased to hear from the above again, who assures us the writing is original."" [CANNOT FIND IDENTITY OF AUTHOR.]",,"journal, publication",
News Report,The Times,1975-09-17,p. 6,"http://link.galegroup.com/
apps/doc/CS101940529/GDCS?u=linc74325&sid=GDCS&xid=65356cdf",2019-06-29,Gale Primary Sources Database,"""News in Brief."" Times, 17 Sept. 1975, p. 6. The Times Digital Archive, http://link.galegroup.com/
apps/doc/CS101940529/GDCS?u=linc74325&sid=GDCS&xid=65356cdf. Accessed 29 June
2019.",More arrested in South Africa,,"Breytenbach, Breyten",Breytenbach,,Breyten,,,"Polley, James|Academic",,,,Arrests under the Terrorism Act,Tue Sep 16 00:00:00 CDT 1975,Southwest Africa. South Africa. Cape Town.,Event|Political,,"Cape Town, Sept 16 -- At least four whites and an African have been detained under the Terrorism Act, in a new wave of arrests by South African security police. 
The latest arrests are connected with the detention some weeks ago of Breyten Breytenbach, an Afrikaner poet, James Polley, a Cape Town University lecturer, and a number of student leaders.",,"terrorism, arrest, jail, imprisonment, professor, student, protest",
News Report,The Times,1983-09-08,p. 5,"http://link.galegroup.com/apps/doc/CS85167400/GDCS?u=linc74325&sid=
GDCS&xid=1690cf50",2019-06-29,Gale Primary Sources Database,"Fishlock, Trevor. ""Apartheid's arch-enemy wins right of asylum."" Times, 8 Sept. 1983, p. 5. The Times
Digital Archive, http://link.galegroup.com/apps/doc/CS85167400/GDCS?u=linc74325&sid=
GDCS&xid=1690cf50. Accessed 29 June 2019.",Apartheid's arch-enemy wins right of asylum,"Fishlock, Trevor ","Brutus, Dennis",Brutus,,Dennis,,,"Fishlock, Trevor|Reporter",,,,South Africa expelled from Olympic Games,1970,Southwest Africa. South Africa.,Event|Political,,"New York writer Trevor Fishlock reports: ""Dennis Brutus, a leading opponent of apartheid who headed the campaign to have South Africa expelled from the Olympic Games, has won his fight against deportation from the United States. A judge in Chicago granted him political asylum...""",,"apartheid, Olympics, athlete, deportation, asylum, exile",
News Report,The Times,1967-04-25,p. 4,"http://link.galegroup.com/apps/doc/
CS67726489/GDCS?u=linc74325&sid=GDCS&xid=6367c24c",2019-06-29,Gale Primary Sources Database,"""News in Brief."" Times, 25 Apr. 1967, p. 4. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS67726489/GDCS?u=linc74325&sid=GDCS&xid=6367c24c. Accessed 29 June 2019.",Roy Campbell honoured,,"Campbell, Roy",Campbell,,Roy,,,"Viljoen, Francois|Politician",,,,10 Year Commemoration of Roy Campbell,Mon Apr 24 00:00:00 CST 1967,Portugal. Lisbon.,Event|Personal,,"Mr. Francois Viljoen, the South African Ambassador in Lisbon, has laid a wreath on the grave of Roy Campbell, the poet who was killed in a motor accident in Lisbon 10 years ago today. 
Roy Campbell, one of South Africa's outstanding poets, spent the latter years of his life in Portugal. He fought on the Nationalist side in the Spanish Civil War.",,"funeral, grave, death, accident, commemoration, memorial",
News Report,The Times,1957-03-08,p. 9,"http://link.galegroup.
com/apps/doc/CS152524904/GDCS?u=linc74325&sid=GDCS&xid=8dd7d04e",2019-06-29,Gale Primary Sources Database,"""Shaka's Bracelet For Zulus."" Times, 8 Mar. 1957, p. 9. The Times Digital Archive, http://link.galegroup.
com/apps/doc/CS152524904/GDCS?u=linc74325&sid=GDCS&xid=8dd7d04e. Accessed 29 June 2019",Shaka's Bracelet for Zulus: Gift to New Museum,,"Campbell, Roy",Campbell,,Roy,,"Campbell, Marshall
","kaSenzangakhona, Shaka|Politician
Leslie, Shane|Politician
",,,,"Building of the memorial, Mashu Campbell Bantu Museum",1957,South Africa. KwaZulu-Natal. ,Event|Professional,,"The news report features information about a donation of an ivory bracelet once worn by Shaka, the Zulu king. It was acquired at a charity sale by Sir Shane Leslie, who returned it to the Zulu nation in Natal to be placed in a national museum in honor of Sir Marshall Campbell. Roy Campbell is a distinguished member of the same family.",,"donation, bracelet, ivory, charity, fundraiser, museum, memorial",
News Report,The Times,1985-06-01,p. 6,"http://link.galegroup.com/apps/doc/CS101159105/GDCS?u=linc74325&sid=GDCS&xid=
e39af040",2019-06-29,Gale Primary Sources Database,"Geddes, Diana. ""Elysée hosts stars of human rights."" Times, 1 June 1985, p. 6. The Times Digital
Archive, http://link.galegroup.com/apps/doc/CS101159105/GDCS?u=linc74325&sid=GDCS&xid=
e39af040. Accessed 29 June 2019.",Elysee hosts stars of human rights,"Geddes, Diana ","Breytenbach, Breyten",Breytenbach,,Breyten,,,"Geddes, Diana|Reporter
Tutu, Desmond|Politician
Bojaxhiu, Mary Teresa|Politician 
MacBride, Sean|Politician 
Esquivel, Adolfo Perez|Politician
Estrella, Miguel Angel|Artist
Camara, Helder|Politician
Sinyavsky, Andre|Writer
Moravia, Alberto|Writer
Mitterrand, Francois|Politician

",,,,International conference on human rights,Thu May 30 00:00:00 CDT 1985,France. Paris.,Event|Political,,"An unprecedented two-day international conference on human rights ended here yesterday amid accusations from both the French Communists and the main Opposition parties that it was nothing more than a ""show-business spectacle"" organized by the Government for purely political reasons... included South African poet Breyton Breytenbach...",,"conference, equality, rights, exile",
News Report,The Times,1972-06-29,p. 16,"http://link.galegroup.com/apps/doc/CS268924637/GDCS?u=linc74325&sid=
GDCS&xid=73207639",2019-06-29,Gale Primary Sources Database,"Decker, Thomas. ""Focus on a medieval African civilization."" Times, 29 June 1972, p. 16. The Times
Digital Archive, http://link.galegroup.com/apps/doc/CS268924637/GDCS?u=linc74325&sid=
GDCS&xid=73207639. Accessed 29 June 2019.",Focus on a medieval African civilization,"Decker, Thomas ","Senghor, Léopold Sédar",Senghor,,Léopold Sédar,,,"Keita, Sundiata|Politician
Mansa Musa|Politician
Decker, Thomas|Reporter",,,,Conference on the medieval Manding Empire of Mali,Thu Jun 29 00:00:00 CDT 1972,England. London.,Event|Professional,,"""Scores of African scholars, including Leopold Senghor, a poet and Senegal's President, are assembling in London today for a conference on the medieval Manding Empire of Mali. They will be joined by specialists in African studies."" The article continues to discuss the need to study and expand the research in studies of Manding civilization of West Africa.",,"president, civilization, scholar, conference",
News Report,The Times,1963-09-19,p. 9,"http://link.galegroup.com/apps/
doc/CS152003891/GDCS?u=linc74325&sid=GDCS&xid=ed70c614",2019-06-29,Gale Primary Sources Database,"""Sportsman And Poet."" Times, 19 Sept. 1963, p. 9. The Times Digital Archive, http://link.galegroup.com/apps/
doc/CS152003891/GDCS?u=linc74325&sid=GDCS&xid=ed70c614. Accessed 29 June 2019.",Sportsman and Poet,,"Brutus, Dennis",Brutus,,Dennis,,,,,,,Attempted Murder of Dennis Brutus,1963,South Africa.,Event|Political,,"A statement issued yesterday by Maindy Msimang, administrative officer of the African National Congress in London, said: ""News of the attempted murder of Dennis Brutus by the trigger-happy South African police, who are reported to have fired two shots at him at close range, will shock millions of people in South Africa and abroad, who have known him as a former weightlifting champion but also, and more particularly, as a dauntless opponent of racial discrimination in South African sport. A gifted young poet, who recently won the Nigerian award in a competition of African poets, Dennis Brutus has been hounded and persecuted by the South African Government.""",,"murder, jail, imprisonment, discrimination, apartheid, award, competition",
Book Review,The Times,1973-12-17,p. 14,"http://link.galegroup.com/apps/doc/CS235764113/GDCS?u=linc74325&sid=
GDCS&xid=133a0643",2019-06-29,Gale Primary Sources Database,"Young, John. ""Poet among the Presidents of Africa."" Times, 17 Dec. 1973, p. 14. The Times Digital
Archive, http://link.galegroup.com/apps/doc/CS235764113/GDCS?u=linc74325&sid=
GDCS&xid=133a0643. Accessed 29 June 2019.",Poet among the Presidents of Africa,"Young, John ","Senghor, Léopold Sédar",Senghor,,Léopold Sédar,,,"Young, John|Critic
Boumédiène, Houari|Politician
Boigny, Felix Houphouet|Politician
Arap Mo, Daniel|Politician
Banda, Kamuzu|Politician
dos Santos, Marcelino|Politician
Kaunda, Kenneth|Politician
Amin, Idi|Politician
Diete-Spiff, Alfred|Politician
",,,"Dickie, John and Alan Rake. Who's Who in Africa: the political, military and business leaders of Africa. African Buyer and Trader (Publications) Ltd, 1973.",,,,,,"John Dickie and Alan Rake created a compendium of information about leaders and Presidents of different African nations, which critic John Young calls ""useful and surprisingly readable.""",,"collection, president, critic, review",
