Poet ID,"Poet Name (Last name, first name[Alternate])",Poet Gender,DOB (YYYY-MM-DD),DOD (YYYY-MM-DD),Poet Nationality (Country Name) ,Poet University Name,Poet University Place,Poet University Date Entered,Poet University Date Graduated,Poet University Degree,In CAP,Poet BIB,Poet  PUB,PUB TYPE,Short Bio,Notes,BIO INFO
DIO06SE,"Diop, Birago",M,1906-12-11,1989-11-25,West Africa.Senegal,University of Toulouse,Europe. France. Toulouse.,,1933,[unknown],,"Lures and Glimmers (1960)
",,,"Born in 1906 in Dakar, Senegal, Birago Diop was a poet and recorder of folktales of the Wolof people. Diop was part of the négritude school of literary theory alongside Leopold Senghor. From 1961 to 1965, Diop worked as Senegal's ambassador to Tunisia. He produced a small but respected collection of poetic works. 

https://www.britannica.com/biography/Birago-Diop",Involved in the Negritude movement; met Senghor.,"Accessed 1/15/2020

https://www.britannica.com/biography/Birago-Diop

https://www.poetryfoundation.org/poets/birago-diop"
DIO27SE,"Diop, David Mandessi",M,1927-07-09,1960-08-29,West Africa.Senegal,[none],[none],,[none],[none],,Coups de pilon (1956),,,"David Mandessi Diop was a poet in the négritude school of literary theory. Diop was born and spent most of his life in France; he was an active supporter of the movements for independence from French colonial rule in West Africa. Diop was published frequently in the literary journal Présence Africaine. 

https://www.poetryfoundation.org/poets/david-mandessi-diop","Born and lived most of his life in France, though considered a French West African poet known for his contribution to the Négritude literary movement. Considered the most ""extreme"" of the Negritude writers. Died in a plane crash at 33, published only one collection of poetry.","Accessed 10/29/2019

https://poets.org/poet/david-diop

https://www.britannica.com/biography/David-Diop"
DRI39SA,"Driver, C. J. [Jonty]",M,1939,Alive,South Africa.South Africa,"University of Cape Town
Oxford University","South Africa. South Africa. Cape Town.
United Kingdom. England. Oxford. ",,1964,"BA
MA",,"Selected Poems, 1960-2004 (2005)
Elegy for a Revolutionary
Send a War in Our Time, O Lord
A Messiah in the Last Days
Occasional Light
Citizen Elsewhere (2013)",,,"Charles Jonathan (Jonty) Driver was born in 1939 in South Africa; he was an anti-apartheid activist and poet. In 1964, he was detained by the South African police for his suspected involvement in the African Resistance Movement. Following his detainment, he left for England, where he was denied South African citizenship and became stateless until later becoming a British citizen. He is a full-time writer.

https://www.jontydriver.co.uk/biography/","Interrogated and held by South African police for his involvement in the African Resistance Party and Liberal Party; once released, left for England where he remained. Prohibited from returning to South Africa.","Accessed 10/29/2019

https://www.jontydriver.co.uk/biography/

https://www.sahistory.org.za/people/jonty-driver"
DUG10GB,"Dugmore, H. H. ",M,1810,1896,United Kingdom.England,[none],[none],,[none],"[none]
",,[none],,,"Born in England in 1810, Henry Hare (H. H.) Dugmore was a missionary who moved with his family as a child to South Africa. Dugmore is known for his work translating the Bible into Xhosa and composing several Xhosa hymns. 

https://en.wikipedia.org/wiki/Henry_Hare_Dugmore","Born in England, moved to South Africa at age 10. From Wikipedia: ""Dugmore became fluent in the Xhosa language, and spent the next twenty years undertaking missionary work. He was jointly responsible for the first translation of the Bible into the Xhosa language, and composed a large number of Xhosa hymns, some of which are still sung today.""","Accessed 10/29/2019

https://en.wikipedia.org/wiki/Henry_Hare_Dugmore

Written about in this book: https://books.google.com/books/about/Life_of_Rev_H_H_Dugmore.html?id=Fl1hmAEACAAJ"
ECH37NI,"Echeruo, Michael J. C.",M,1937-03-14,Alive,West Africa.Nigeria,"University College, Ibadan
Cornell University
Cornell University","West Africa. Nigeria. Ibadan. 
North America. USA. Ithaca, NY. 
North America. USA. Ithaca, NY. 
",,"1960
1963
1965","BA
MA
PhD
",,"Mortality (1968)
Distanced: New Poems (1975)",,,"Michael Echeruo, born 1937, is a Nigerian academic and writer. Echeruo was a contemporary of Christopher Okigbo at the University of Ibadan. He is known for his work critiquing the western perception of Africa in academia, fighting instead for an African viewpoint of Africa. 

https://en.wikipedia.org/wiki/Michael_Echeruo","Since 1990 William Safire Professor of Modern Letters, Syracuse University, New York. Since 1977 founding president, Nigerian Association for African and Comparative Literature","Accessed 10/29/2019

https://www.encyclopedia.com/arts/culture-magazines/echeruo-michael-joseph-chukwudalu"
EGL00SA,"Eglington, Charles",M,1918,1972,South Africa.South Africa,[none],[none],,[none],[none],,Under the Horizon (collected poems) (1977),,,"Charles Eglington was born in 1918 in South Africa. He would become a respected South African poet, publishing ""Under the Horizon"" in 1977.

https://www.thebookcollector.co.za/shop/africana/under-the-horizon-charles-eglinton/",Could find very little biographical information. ,"Accessed 10/29/2019

https://www.thebookcollector.co.za/shop/africana/under-the-horizon-charles-eglinton/"
ELH52??,"El Hadj Belarbi, Sheik Benguedda",M,[none],1932-01-12,[none],[none],[none],,[none],[none],,[none],,,"Over eighty at the time of his death in 1932, Sheik Benguedda El Hadj Belarbi was a North African Muslim poet. He was the proprietor of a Moorish cafe which was for many years a place  of pilgrimage for poets from all over North Africa. He had a library with the collected works of poets from Morocco and Western Algeria.",Cannot find bio information.,
EVA##??,"Evans, Hugh John",M,[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Hugh John Evans was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",Member of Veldsingers' Club; can find no bio information.,
EYB15SA,"Eybers, Elisabeth",F,1915-02-26,2007-12-01,South Africa.South Africa,"University of the Witwatersrand
",South Africa. South Africa. Johannesburg. ,,1937,[unknown],,"Belydenis in die Skemering (1936)
Die Stil Avontuur (1939)
Die Vrou en ander verse (1945)
Die Ander Dors (1946)
Tussensang (In-between song) (1950)
Helder Halfjaar (Bright half-year) (1956)
Versamelde Gedigte (Collected poems) (1957)
Neerslag (Precipitation) (1958)
Balans (Balance) (1962)
Onderdak (Under shelter) (1965)
Kruis of Munt (Head or tail) (1973)
Verbruikersverse/Consumer's verse (1997) 
Winter-surplus (1999)",,,"Elisabeth Eybers, born in 1915, was the first Afrikaans woman to publish a book of poetry. She worked as a journalist following her graduation from the University of Witwatersrand. She was considered to be part of one of the ""Dertigers,"" a group of young South African poets of the 1930s. She was the first Afrikaans woman to win the Hertzog Prize for poetry in 1943, and she was awarded the prize a second time in 1971. 

https://en.wikipedia.org/wiki/Elisabeth_Eybers"," She published twenty-two volumes of poetry, all except the last of which are collected in Versamelde gedigte (Collected Poems) (2004).","Accessed 10/29/2910 (poet bib taken from Wikipedia)

https://en.wikipedia.org/wiki/Elisabeth_Eybers

https://www.rem.routledge.com/articles/eybers-elisabeth-1915-2007"
FAI##SA,"Fairlie, A. C. ",[none],[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,Featured in: A Treasury of South African Poetry (1907) ,,,"A. C. Fairlie was a poet featured in ""A Treasury of South African Poetry,"" published in 1907. His poems included ""A Home by the Shore,"" ""Sweet Falls the Eve,"" ""Chumie Fair,"" and ""Buffalo Banks."" 

https://en.wikisource.org/wiki/A_Treasury_of_South_African_Poetry_and_Verse/A._C._Fairlie",Could not find any biographical information; not sure full name.,"Accessed 10/30/2019

https://en.wikisource.org/wiki/A_Treasury_of_South_African_Poetry_and_Verse/A._C._Fairlie"
FAL21NI,"Falete, Adebayo",M,1921-12-26,2017-07-23,West Africa.Nigeria,University of Ibadan,West Africa. Nigeria. Ibadan.,,1968,[unknown],,,,,"Adebayo Faleti was a Nigerian poet, journalist, writer, actor, and director. He was a pioneer of the first television station in Africa, Western Nigeria Television (WNTV), and became Africa's first newscaster. He was also a known translator, and translated the speeches of the military president of Nigeria, General Ibrahim Babangida, from English to Yoruba. 

https://en.wikipedia.org/wiki/Adebayo_Faleti ","Cannot find evidence of poetry collection, although he did produce poems.","Accessed 10/30/2019

https://en.wikipedia.org/wiki/Adebayo_Faleti"
FAL76GB,"Fallaw, Lance",M,1876,1958,United Kingdom.England,University of Durham,United Kingdom. England. Durham. ,,1898,[unknown],,"An Ampler Sky: Poems (1909)
Silverleaf and Oak: Poems (1906)
",,,"Born in Engand in 1876, Lance Fallaw traveled to South Africa in 1900 to work as a journalist. Fallaw was a lover of literature, and frequently wrote poetry that praised both England and South Africa. 

https://search.informit.com.au/documentSummary;dn=998516017313049;res=IELLCC","Born in England, moved to South Africa as a journalist and then, later, Australia. ","Accessed 10/30/2019

https://search.informit.com.au/documentSummary;dn=998516017313049;res=IELLCC

https://trove.nla.gov.au/list?id=31650"
FUG32GB,"Fugard, Sheila",F,1932,Alive,United Kingdom.England,University of Cape Town,South Africa. South Africa. Cape Town.,,[none],[unknown],,"Threshold (1975) 
Mythic Things (1981)",,,"Born in England in 1932, Sheila Fugard moved to South Africa with her family at age eight. She is a writer of poetry, novels, and plays. Her book The Castaways won the Olive Schreiner Prize. 

https://en.wikipedia.org/wiki/Sheila_Meiring_Fugard","Moved to South Africa as a child, though born in England.","Accessed 10/30/2019

https://www.encyclopedia.com/women/dictionaries-thesauruses-pictures-and-press-releases/fugard-sheila-1932"
GOU81GB,"Gouldsbury, Cullen",M,1881,1916,United Kingdom.England,[none],[none],,[none],[none],,"Circe's Garden (1907)
God's Outpost (1907)
Maturin's Marriage (1907)
Rhodesian Rhymes (1909, reprinted as Songs Out of Exile in the UK)
The Tree of Bitter Fruit (1910)
The Great Plateau of Northern Rhodesia (1911)
An African Year (1912)
More Rhodesian Rhymes (1913, reprinted as From the Outposts in the UK)",,,"Cullen Gouldsbury was a British poet born in Darjeeling in 1881 who served as an officer in Northern Rhodesia. Though not an African, his poetry often featured the African landscape. Gouldsbury died in World War I. 

https://en.wikisource.org/wiki/Author:Cullen_Gouldsbury",British officer stationed in Northern Rhodesia. Served and died in WWI.,"Accessed 02/28/2020

https://en.wikisource.org/wiki/Author:Cullen_Gouldsbury

https://www.biblio.com/cullen-gouldsbury/author/77380"
GIB97GB,"Gibbon, Perceval",M,1897-11-04,1936-05-30,United Kingdom.Wales,[none],[none],,[none],"[none]
",,African Items: A Volume of Verse (1903) ,,,"Perceval Gibbon, born in Wales in 1879, served as a journalist for the Rand Daily Mail in South Africa. He was friends with the writer Joseph Conrad. During World War I, he served as a correspondent with the Italian Army. He was best known for his short stories, though he also wrote a colleciton of poetry. 

https://en.wikipedia.org/wiki/Perceval_Gibbon",Served as a journalist for the Rand Daily Mail in South Africa. ,"Accessed 10/30/2019

https://rpo.library.utoronto.ca/poets/gibbon-perceval"
GWA46SA,"Gwala, Pascal",M,1946-10-05,2014-09-06,South Africa.South Africa,University of Zululand,South Africa. South Africa. Natal.,,[none],[unknown],,"Jol'iinkomo (1977)
No More Lullabies (1982)",,,"Pascal Gwala was born in the Natal Province of South Africa in 1946 and became an  anti-apartheid poet and activist. Gwala joined the South African Students Organization (SASO) after enrolling at the University of Zuzuland. Gwala also began publishing and working wih the black literary magazine ""The Classic"" while at university, alongside other significant black writers Oswald Mtshali, Mongane Wally Serote, Njabulo Ndebele, Webster Makaza and Meshack Hlongwane. Gwala was known for his involvement with the Black Consciousness movement. 

https://www.sahistory.org.za/people/mafika-pascal-gwala","In 1973, Gwala was invited to read with Oswald Mtshali, Mongane (Wally) Serote, Don Mattera, Phil Phetoe, Lefifi Tladi and Mike Dues at Turfloop’s Africa Arts Week, another cultural convention inspired by Black Consciousness","Accessed 10/30/2019

https://www.sahistory.org.za/people/mafika-pascal-gwala

http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2015000100019

"
HAM91GB,"Hamilton, William Robert [W. R.]",M,1896,1917,United Kingdom.Scotland,"University of Cape Town
",South Africa. South Africa. Cape Town.,,[none],[unknown],,Modern Poems (1917),,,"Born in Scotland in 1896, William Robert Hamilton was a British soldier and war poet. He published a collection of poems, ""Modern Poems,"" in 1917, and the play ""Moths and Fairies"" in 1912. He died in World War I. 

https://en.wikisource.org/wiki/Author:William_Robert_Hamilton",Died in WWI.,"Accessed 10/30/2019

https://rpo.library.utoronto.ca/poets/hamilton-william

https://pennyspoetry.fandom.com/wiki/William_Robert_Hamilton

https://books.google.com/books?id=2J8bDQAAQBAJ&pg=PT382&lpg=PT382&dq=Hamilton,+William+Robert+university+of+cape+town&source=bl&ots=hB9CeZLdq_&sig=ACfU3U2KHa0BpuI2zlhSL-hzzrUCyOtGyQ&hl=en&sa=X&ved=2ahUKEwinwrPgkPXnAhUBSq0KHVcjBmoQ6AEwCXoECA4QAQ#v=onepage&q=Hamilton%2C%20William%20Robert%20university%20of%20cape%20town&f=false"
HAR39SA,"Haresnape, Geoffrey",M,1939,Alive,South Africa.South Africa,"University of Cape Town
University of Sheffield","South Africa. South Africa. Cape Town.
United Kingdom. England. Sheffield. ",,"1961
1982","MA
PhD",,"Drive of the Tide (1976)
New-Born Images (1999)
Mulberries in Autumn (1996)
The Living and the Dead (1996) 
Where the Wind Wills (2011)
Selected Poems (1996)",,,"Geoffrey Haresnape is a South African poet and writer who, in the 1950s at University of Cape Town, edited the student literary magazine, ""Groote Schuur,"" which published the  work of J. M. Coetzee, C. J. (Jonty) Driver, Stephen Gray, Breyten Breytenbach and Adam Small. From 1980 to 1989, he was editor of ""Contrast,"" South Africa’s leading literary magazine. He is the Vice President of PEN South Africa, an Emeritus Professor of English at the University of Cape Town, an Honorary Vice-President of the English Academy of Southern Africa.

http://www.english.uct.ac.za/geoff-haresnape",,"Accessed 10/30/2019

http://www.english.uct.ac.za/geoff-haresnape"
HAS64SO,"Hasan, Muhammad Abdille",M,1864,1920,East Africa.Somaliland,[none],[none],,[none],[none],,"Oral poetry. Analyzed in this collection: 

Said S. Samatar, Oral Poetry and Somali Nationalism: The Case of Sayyid Mahammad Abdille Hasan, Cambridge: Cambridge University Press, 1982 (analyzes Mahammad Abdille's poetry and assesses his nationalist and literary contributions to the Somali heritage)
",,,"Mohammed Abdullah Hassan was a Somali leader who founded the Dervish movement against colonial powers in Somaliland. He inspired his followers with his poetry and charisma to rebel against the British, Italian, and Ethiopian forces. 

https://en.wikipedia.org/wiki/Mohammed_Abdullah_Hassan",Muhammad Abdille Hassan (1864-1920) was a politico-religious leader and poet who is considered the father of Somali nationalism for his inspiration and leadership in a 20-year war against European and Ethiopian imperialism in Somaliland.,"Accessed 10/30/2019

https://biography.yourdictionary.com/muhammad-abdille-hassan"
HAS79GB,"Hastings, Beatrice",F,1879-01-27,1943-10-30,United Kingdom.England,[none],[none],,[none],[none],,On Beatrice Hastings: On the Life & Work of a Lost Modern Master,,,"Beatrice Hastings was the pen name of Emily Alice Haigh; many of her works were published in ""The New Age,"" a British weekly magazine, under a variety of pseudonyms. Emily Alice Haigh was born in 1879 in England, though she was raised in South Africa and moved to Paris just before World War I. She was a known bisexual and a lover of Katherine Mansfield.  

https://en.wikipedia.org/wiki/Beatrice_Hastings",Used several pseudonyms; difficult to trace everything that can be attributed to her. Born in England but spent her childhood in South Africa.,"Accessed 10/30/2019

https://kenyonreview.org/reviews/beatrice-hastings-on-the-life-and-work-of-a-lost-modern-master-738439/

https://www.penguinrandomhouse.co.za/book/beatrice-hastings-literary-life/9780143529248

"
HO44SA,"Hope, Christopher","M
",1944-02-26,Alive,South Africa.South Africa,University of Witwatersrand,South Africa. South Africa. Johannesburg. ,,1960,[unknown],,"Whitewashes (1971)
Cape Drives (1974)
In the Country of the Black Pig (1981) 
Englishmen (1985)",,,"Christoper Hope is a South African novelist and poet known for his anti-apartheid and anti-racist writings. His poetry was censored by the South African government in the 1970s. Hope went into self-exile in England shortly after. In 2006, Hope founded the Franschhoek Literary Festival in South Africa, and in 2012 he co-founded the Hermanus Fynarts Festival.  His poetry collection Cape Drives was awarded the Thomas Pringle Prize and a Cholmondeley Award. 

https://en.wikipedia.org/wiki/Christopher_Hope",In the South African Navy beginning 1962.,"Accessed 10/31/2019

https://literature.britishcouncil.org/writer/christopher-hope"
HOR34SA,"Horn, Peter Rudolf Gisela",M,1934-12-07,Alive,South Africa.South Africa,University of Witwatersrand,South Africa. South Africa. Johannesburg. ,,1970,[unknown],,"Voices from the Gallows Trees (1969)
Walking through our sleep (1974)
Silence in Jail (1979)
The Civil War Cantos (1987)
Poems 1964 -1990 (1991)
An Axe in the Ice (1992)
Derrière le vernis du soleil, poèmes 1964–1989 (1993)
The Rivers that Connect us to the Past (1996)
Poems (2003)",,,"Peter Horn was born in then-Czechoslovakia in 1934, and fled with his family during World War II, eventually immigrating to South Africa. Hope was known for his anti-apartheid poetry work. Because of his work, he faced disciplinary hearings, threats of deportation, and death threats. He was one of the founding members of Congress of South African Writers (COSAW).

https://www.sahistory.org.za/people/peter-rudolf-gisela-horn",Born in Czech Republic; he and his family emigrated to South Africa after he completed high school. Considered a South African poet.,"Accessed 10/31/2019

https://www.paperbackswap.com/Peter-Horn/author/"
HUN39SA,"Hunter, William Elijah",M,1839,1913,South Africa.South Africa,[none],[none],,[none],[none],,"Poems (1860)
Featured in: A Treasury of South African Poetry and Verse (1907) 
The Nightingale, and Other Poems (1908)",,,"William Elijah Hunter, born 1839,  was a South African poet featured in ""A Treasury of South African Poetry and Verse."" He is own collection, ""The Nightingale, and Other Poems"" was published in 1908. 

https://en.wikisource.org/wiki/Author:William_Elijah_Hunter",Very little biographical information found.,"Accessed 10/31/2019

https://en.wikisource.org/wiki/Author:William_Elijah_Hunter"
IBE43NI,"Ibekwe, Chinweizu ",M,1943-04-25,Alive,West Africa.Nigeria,"Massachusetts Institute of Technology
State University of New York at Buffalo","North America. USA. Cambridge, MA. 
North America. USA. Buffalo, NY. ",,"1967
1976","BS
PhD",,"Energy Crisis and other poems (1978)
Toward the Decolonization of African Literature, Vol. 1: African Fiction and Poetry and Their Critics (1983)
Invocations and Admonitions: 49 poems and a triptych of parables (1986)",,,"Chinweizu is a Nigerian activist, writer, and poet who was influenced by the Black Power movement in the United States during his studying at MIT and the State University of New York. Chinweizu returned to Nigeria in the 1980s and began working to promote Black orientalism in Pan-Africanism. Chinweizu was critical of what he considered to be elitism in some Nigerian authors, such as Wole Soyinka. He was editor of the Nigerian literary magazine, ""Okike.""

https://en.wikipedia.org/wiki/Chinweizu_Ibekwe",,"Accessed 10/25/2019

http://www.worldafropedia.com/wiki/index.php?title=Chinweizu&mobileaction=toggle_view_mobile"
MOR##??,"Morrison-Jacobs, David",M,[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The White Patrol: South African And Other Poems.,,,"David Morrison-Jacobs was born in South Africa and would come to be a South African poet. He was the author of ""The White Patrol: South African And Other Poems.""",Very little biographical information found.,"Accessed 10/31/2019

https://www.abebooks.com/White-Patrol-South-African-Poems-Morrison-Jacobs/20165460465/bd"
JAC24AN,"Jacinto, Antonio  [Orlando Tavora]",M,1924-09-28,1991-06-23,Middle Africa.Angola,[none],[none],,[none],[none],,"SELECTED POEMS  
O grande desafio (Portuguese; ""The great challenge"")
Poema da alienação (""Poem of alienation"")
Carta dum contratado (""Letter of a contract worker"")
Monangamba 
Canto interior de uma noite fantástica (""Interior chant of a fantastic night"")
Era uma vez
Bailarina negra (""Black dancer"")
Ah! Se pudésseis aqui ver poesia que não há!"" (""Ah! If you could see that there is no poetry here!"")",,,"António Jacinto, pseudonym Orlando Tavora, was born in 1924 in Portuguese, West Africa in what is now Angola. He was a poet, short-story writer and cabinet minister. Jacinto became involved in movements against Portuguese colonial rule, for which he was arrested 1961. Jacinto's poetry specifically represents and critiques the oppression of the Angolan people by the Portuguese. 

https://www.britannica.com/biography/Antonio-Jacinto","The son of Portuguese settlers in Angola, Jacinto became associated with militant movements against Portuguese colonial rule and was arrested in 1961. He was sent to São Paulo Prison in Luanda and then served 14 years in the notorious prison camp at Tarrafal in the Cape Verde Islands.","Accessed 10/31/2019

https://www.britannica.com/biography/Antonio-Jacinto"
KAR##NI,"Karibo, Minji",M,[none],[none],West Africa.Nigeria,University of Ibadan,West Africa. Nigeria. Ibadan.,,late 1950s to early 1960s,[unknown],,[none],,,"Minji Karibo was a univeristy student at the University of Ibadan in Nigeria, where he published his poetry in ""The Horn,"" the student magazine, during the 1950s and 60s.",Published in The Horn magazine at University of Ibadan.,"Accessed 10/31/2019

https://findingafricaseminar.wordpress.com/2019/05/07/bower-on-translocality-small-magazines-and-nigerian-poetry/"
KIP65IN,"Kipling, Rudyard",M,1865-12-30,1936-01-18,South Asia.India,[none],[none],,[none],[none],,"Schoolboy Lyrics (1881)
Echoes (1884) – with his sister, Alice (‘Trix’)
Departmental Ditties (1886)
Barrack-Room Ballads (1890)
The Seven Seas (1896)
An Almanac of Twelve Sports (1898)
The Five Nations (1903)
Collected Verse (1907)
Songs from Books (1912)
The Years Between (1919)
Rudyard Kipling's Verse: Definitive Edition (1940)",,,"Rudyard Kipling was born in Bombay, India but moved to England as a young man. During the Boer War in South Africa, Kipling was an active war correspondent. Kiping was known as a Victorian poet and story-teller, awarded the Nobel Prize for Literature in 1907. 

https://www.poetryfoundation.org/poets/rudyard-kipling","Traveled around the world; born in Bombay, raised as a youth in England, returned to India in young adulthood. Traveled to South Africa multiple times. He was actively involved in the Boer War in South Africa as a war correspondent.  Nobel Prize for literature in 1907. Died of a painful illness.","Accessed 02/28/2020

https://www.poetryfoundation.org/poets/rudyard-kipling

https://en.wikipedia.org/wiki/Rudyard_Kipling"
KOL54GB,"Kolbe, F. C. ",M,1854-09-28,1936-01-12,United Kingdom.England,"South African College, Cape Town",South Africa. South Africa. Cape Town.,,1874,[unknown],,"""CORONATION ODE"" and ""TABLE MOUNTAIN."", both featured in A Treasury of South African Poetry and Verse edited by Edward Heath Crouch",,,"F. C. Kolbe was a poet born in 1854 in South Africa; he was one of the first six graduates to receive a BA through the University of the Cape of Good Hope. He was published in ""A Treasury of South African Poetry and Verse,"" and his poetry was mentioned in the South African Poetry Review in 1901.",Mentioned in the 1901 South African Poetry review (line 181). One of the first 6 graduates to receive a BA through the University of the Cape of Good Hope.,"Accessed 02/28/2020

https://www.s2a3.org.za/bio/Biograph_final.php?serial=1559"
KRI10SA,"Krige, Uys","M
",1910-02-10,1987-08-10,South Africa.South Africa,University of Stellenbosch,South Africa. South Africa. Stellenbosch. ,,1931,[unknown],,"Kentering (Change) (1935)
Rooidag (Red day) (1940)
Oorlogsgedigte (War poems) (1942)
Hart sonder hawe (Heart without harbour) (1949)
Ballade van die groot begeer (Ballad of the great desire) (1960)
Vooraand (The evening before) (1964)",,,"Uys Krige was a South African writer and poet born in 1910 and known for writing in both Afrikaans and English. Though he spent some years in the 1930s living in France and Spain, he returned to South Africa in 1935 to become a reporter for the South African Rand Daily Mail. During World War II, he was a war correspondent with the South African Army and was captured, spending two years as a prisoner of war. Krige's talent with Romance languages meant he became the primary translator of Romance literature into Afrikaans, which had a great impact on modern South African writing. 

https://en.wikipedia.org/wiki/Uys_Krige",,"Accessed 11/2/2019

https://www.britannica.com/biography/Uys-Krige

https://www.sahistory.org.za/people/mattheus-uys-krige"
KRO52SA,"Krog, Antjie",F,1952-10-23,Alive,South Africa.South Africa,"University of the Orange Free State
University of Pretoria","South Africa. South Africa. Bloemfontein, Free State. 
South Africa. South Africa. Pretoria. ",,"1973
1976","BA
MA",,"Dogter van Jefta (Daughter of Jephta) (1970)
Januarie-suite (January Suite) (1972)
Beminde Antarktika (Beloved Antarctica) (1974)
Mannin (Difficult to translate: the name of Eve given in Biblical terms if Adam being ""man"", Eve was called ""wo-man"") (1974)
Otters in Bronslaai (Otters in Watercress Salad) (1981)
Jerusalemgangers (Jerusalem-goers) (1985)
Lady Anne (1989)
Gedigte 1989–1995 (Poems) (1995)
Kleur kom nooit alleen nie (Colour never comes alone) (2000)
Down to my last skin (2000)
Met woorde soos met kerse (With words as with candles) (2002)
The stars say tsau (2004)
Body bereft (2006)
Skinned (2013)",,,"Antjie Krog was born in 1952 on a farm in the Free State; she is a renowned poet in South Africa. Krog has published nine collections of poetry and has received awards such as the most promising young writer in 1973, the Dutch/Flemish prize and the Reina Prinsen-Geerligs prize for most promising young writer in 1976, and, in 1990, the Hertzog prize for the best poetry volume over three years. Krog reported as a journalist on the Truth and Reconciliation Committee in South Africa and received the Hiroshima Foundation for Peace and Culture in the year 200 for her work promoting peace through the arts. 

https://www.sahistory.org.za/people/antjie-krog",,"Accessed 11/2/2019

https://www.poetryinternational.org/pi/poet/5372/Antjie-Krog

https://www.sahistory.org.za/people/antjie-krog"
KUN30SA,"Kunene, Mazisi","M
",1930-05-30,2006-08-11,South Africa.South Africa,"University of Natal
University of Natal","South Africa. South Africa. Natal.
South Africa. South Africa. Natal.",,1959,"BA
MA",,"Zulu Poems (1970)
Emperor Shaka the Great: A Zulu Epic (1979)
Anthem of the Decades: A Zulu Epic Dedicated to the Women of Africa (1981)
The Ancestors and the Sacred Mountain: Poems (1982)
Isibusiso Sikamhawu (1994)
Indida Yamancasakazi (1995)
Amalokotho Kanomkhubulwane (1996)
Umzwilili wama-Afrika, Kagiso (1996)
Igudu lika Somcabeko, Van Schaik (1997)
Echoes from the Mountain. New and Selected Poems by Mazisi Kunene (2007)
Unodumehlezi Kamenzi (2017)",,,"Mazisi Kunene was a renowned poet, academic, and founder of the anti-apartheid movement in South Africa. In 1993, Unesco made him Africa's poet laureate; he was named South Africa's Poet Laureate in March 2005.  Kunene remained inspired by the history South Africans,  especially their fight against colonialism and apartheid. Kunene's poetry was rooted in the oral traditions and the indigenous literature of the Nguni and Sotho speakers of Southern Africa. 

https://www.sahistory.org.za/people/mazisi-raymond-kunene",,"Accessed 11/2/2019

https://www.britannica.com/biography/Mazisi-Kunene

https://www.sahistory.org.za/people/mazisi-raymond-kunene"
LAI46GH,"Laing, Kojo","M
",1946-07-01,2017-04-20,West Africa.Ghana,Glasgow University,United Kingdom. Scotland.,,1968,[unknown],,Godhorse (1989),,,"Kojo Laing, born in 1946, was a Ghanian poet and writer known for using Ghanaian Pidgin English alongside standard English in his works. He wrote poetry mostly in the 1970s and was known for his surrealist technique. His novel Search Sweet Country, which was published in 1986, won prizes including the Valco Award and the Ghana Book Award. 

https://en.wikipedia.org/wiki/Kojo_Laing",,"Accessed 11/2/2019

https://www.encyclopedia.com/arts/culture-magazines/laing-kojo

https://www.poetryfoundation.org/poets/kojo-laing"
LEI80SA,"Leipoldt, C. Louis [Christian Frederik Louis]","M
",1880-12-28,1947-04-12,South Africa.South Africa,[none],[none],,[none],[none],,"Oom Gert vertel en ander gedigte (1911)
Uit drie wêrelddele (1923)
Skoonheidstroos (1932)",,,"Born in 1880, C. Louis Leipoldt was a South African poet, doctor, reporter, and food expert. Alongside Jan Celliers, he was one of the leading writers in the poetry of the Second Afrikaans Movement. Leipoldt wrote nature poetry considering the landscapes of South Africa, especially Hantam. Much of his poetry was also inspired by the suffering of the Second Boer War.  

https://en.wikipedia.org/wiki/C._Louis_Leipoldt","[From Wiki] Together with Jan F. E. Celliers and J. D. du Toit, he was one of the leading figures in the poetry of the Second Afrikaans Movement. Apart from poetry, Leipoldt wrote novels, plays, stories, children's books, cookbooks and a travel diary. He is numbered amongst the greatest of the Afrikaner poets and he was described by D. J. Opperman, himself a noted South African poet, as ""our most versatile artist"".","Accessed 11/2/2019


https://en.wikipedia.org/wiki/C._Louis_Leipoldt

https://www.britannica.com/biography/C-Louis-Leipoldt
"
